yolcu sayisi : 5	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 500.0	  kar : -3070.0026886373903
yolcu sayisi : 6	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 600.0	  kar : -2970.0026886373903
yolcu sayisi : 7	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 700.0	  kar : -2870.0026886373903
yolcu sayisi : 8	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 800.0	  kar : -2770.0026886373903
yolcu sayisi : 9	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 900.0	  kar : -2670.0026886373903
yolcu sayisi : 10	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 1000.0	  kar : -2570.0026886373903
yolcu sayisi : 11	  yol: 64->43->26->6	  maliyet km : 357.00026886373905	  maliyet tl : 3570.0026886373903	 yolcu fiyati : 100.0	 gelir : 1100.0	  kar : -2470.0026886373903
yolcu sayisi : 12	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1200.0	  kar : -2940.0032137883663
yolcu sayisi : 13	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1300.0	  kar : -2840.0032137883663
yolcu sayisi : 14	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1400.0	  kar : -2740.0032137883663
yolcu sayisi : 15	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1500.0	  kar : -2640.0032137883663
yolcu sayisi : 16	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1600.0	  kar : -2540.0032137883663
yolcu sayisi : 17	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1700.0	  kar : -2440.0032137883663
yolcu sayisi : 18	  yol: 64->3->26->6	  maliyet km : 414.0003213788367	  maliyet tl : 4140.003213788366	 yolcu fiyati : 100.0	 gelir : 1800.0	  kar : -2340.0032137883663
yolcu sayisi : 19	  yol: 64->3->42->6	  maliyet km : 526.0001694460991	  maliyet tl : 5260.001694460991	 yolcu fiyati : 100.0	 gelir : 1900.0	  kar : -3360.0016944609906
yolcu sayisi : 20	  yol: 64->3->42->6	  maliyet km : 526.0001694460991	  maliyet tl : 5260.001694460991	 yolcu fiyati : 100.0	 gelir : 2000.0	  kar : -3260.0016944609906
yolcu sayisi : 21	  yol: 64->3->42->6	  maliyet km : 526.0001694460991	  maliyet tl : 5260.001694460991	 yolcu fiyati : 100.0	 gelir : 2100.0	  kar : -3160.0016944609906
