id (lat long al) 	 	 komsu (yatay km)
1 (37,0000 35,3213 0025)	38 (193.0)  51 (121.0)  31 (113.0)  33 (65.0)  80 (79.0)  46 (157.0)  
2 (37,7648 38,2786 0701)	44 (66.0)  21 (172.0)  63 (81.0)  27 (111.0)  46 (120.0)  
3 (38,7507 30,5567 1012)	26 (114.0)  43 (89.0)  64 (100.0)  26 (114.0)  15 (150.0)  32 (110.0)  42 (195.0)  20 (168.0)  
4 (39,7194 43,0513 1630)	36 (100.0)  76 (84.0)  25 (153.0)  49 (141.0)  13 (168.0)  65 (140.0)  
5 (40,6499 35,8353 0400)	55 (83.0)  19 (75.0)  66 (127.0)  60 (71.0)  
6 (39,9208 32,8541 0905)	18 (99.0)  14 (130.0)  26 (200.0)  42 (231.0)  68 (200.0)  40 (142.0)  71 (57.0)  
7 (36,8841 30,7056 0062)	48 (211.0)  15 (86.0)  33 (350.0)  32 (99.0)  42 (191.0)  70 (226.0)  
8 (41,1828 41,8183 0530)	53 (110.0)  25 (150.0)  75 (74.0)  
9 (37,8560 27,8416 0092)	35 (88.0)  45 (92.0)  48 (85.0)  20 (110.0)  
10 (39,6484 27,8826 0145)	17 (137.0)  16 (122.0)  43 (182.0)  45 (121.0)  35 (151.0)  
11 (40,0567 30,0665 0513)	54 (77.0)  14 (141.0)  26 (50.0)  43 (72.0)  16 (88.0)  
12 (39,0626 40,7696 1159)	24 (133.0)  62 (118.0)  23 (140.0)  21 (136.0)  49 (86.0)  25 (103.0)  
13 (38,3938 42,1232 1637)	65 (112.0)  56 (53.0)  72 (104.0)  49 (69.0)  4 (168.0)  
14 (40,5760 31,5788 0741)	6 (130.0)  26 (126.0)  11 (141.0)  54 (97.0)  81 (46.0)  67 (100.0)  78 (112.0)  18 (172.0)  
15 (37,4613 30,0665 0963)	7 (86.0)  48 (153.0)  20 (93.0)  3 (150.0)  32 (55.0)  
16 (40,2669 29,0634 0238)	77 (46.0)  10 (122.0)  43 (123.0)  11 (88.0)  41 (95.0)  54 (125.0)  
17 (40,1553 26,4142 0011)	59 (131.0)  10 (137.0)  22 (170.0)  
18 (40,6013 33,6134 0730)	6 (99.0)  78 (107.0)  37 (89.0)  19 (113.0)  71 (84.0)  14 (172.0)  
19 (40,5506 34,9556 0822)	37 (136.0)  57 (165.0)  55 (142.0)  5 (75.0)  66 (82.0)  71 (145.0)  18 (113.0)  
20 (37,7765 29,0864 0392)	48 (89.0)  9 (110.0)  45 (172.0)  64 (105.0)  3 (168.0)  15 (93.0)  
21 (37,9144 40,2306 0674)	12 (136.0)  23 (122.0)  44 (175.0)  2 (172.0)  63 (152.0)  47 (79.0)  72 (79.0)  49 (175.0)  
22 (41,6818 26,5623 0050)	17 (170.0)  59 (111.0)  39 (55.0)  
23 (38,6810 39,2264 1041)	44 (88.0)  24 (121.0)  62 (72.0)  12 (140.0)  21 (122.0)  
24 (39,7500 39,5000 1216)	28 (160.0)  29 (77.0)  69 (83.0)  58 (212.0)  44 (186.0)  62 (49.0)  25 (152.0)  12 (133.0)  23 (121.0)  
25 (39,9000 41,2700 1923)	8 (150.0)  75 (181.0)  36 (175.0)  4 (153.0)  49 (114.0)  12 (103.0)  24 (152.0)  69 (97.0)  53 (140.0)  
26 (39,7767 30,5206 0796)	6 (200.0)  14 (126.0)  11 (50.0)  43 (61.0)  3 (114.0)  42 (272.0)  
27 (37,0662 37,3833 0838)	79 (45.0)  31 (118.0)  80 (108.0)  46 (70.0)  2 (111.0)  63 (126.0)  
28 (40,9128 38,3895 0014)	52 (44.0)  58 (174.0)  24 (160.0)  29 (108.0)  61 (112.0)  
29 (40,4386 39,5086 1174)	28 (108.0)  61 (65.0)  69 (64.0)  24 (77.0)  
30 (37,5833 43,7333 1756)	65 (105.0)  73 (111.0)  
31 (36,4018 36,3498 0089)	1 (113.0)  80 (92.0)  27 (118.0)  79 (77.0)  
32 (37,7648 30,5566 1058)	3 (110.0)  42 (170.0)  7 (99.0)  15 (55.0)  
33 (36,8000 34,6333 0018)	1 (65.0)  51 (130.0)  42 (224.0)  70 (132.0)  7 (350.0)  
34 (41,0053 28,9770 0025)	59 (123.0)  41 (78.0)  
35 (38,4189 27,1287 0009)	9 (88.0)  45 (34.0)  10 (151.0)  
36 (40,6167 43,1000 1756)	75 (64.0)  25 (175.0)  4 (100.0)  76 (112.0)  
37 (41,3887 33,7827 0814)	74 (112.0)  78 (99.0)  57 (134.0)  19 (136.0)  18 (89.0)  
38 (38,7312 35,4787 1060)	66 (134.0)  58 (174.0)  46 (180.0)  1 (193.0)  51 (110.0)  50 (69.0)  
39 (41,7333 27,2167 0231)	22 (55.0)  59 (87.0)  
40 (39,1425 34,1709 0991)	6 (142.0)  50 (67.0)  66 (93.0)  71 (96.0)  68 (87.0)  
41 (40,8533 29,8815 0004)	77 (57.0)  16 (95.0)  54 (50.0)  34 (78.0)  
42 (37,8667 32,4833 1023)	6 (231.0)  68 (147.0)  51 (193.0)  33 (224.0)  70 (101.0)  7 (191.0)  32 (170.0)  3 (195.0)  26 (272.0)  
43 (39,4167 29,9833 0958)	10 (182.0)  16 (123.0)  11 (72.0)  26 (61.0)  3 (89.0)  64 (96.0)  45 (238.0)  
44 (38,3552 38,3095 0970)	2 (66.0)  46 (148.0)  58 (191.0)  24 (186.0)  23 (88.0)  21 (175.0)  
45 (38,6191 27,4289 0079)	35 (34.0)  9 (92.0)  20 (172.0)  64 (172.0)  43 (238.0)  10 (121.0)  
46 (37,5858 36,9371 0562)	38 (180.0)  58 (240.0)  44 (148.0)  2 (120.0)  27 (70.0)  80 (79.0)  1 (157.0)  
47 (37,3212 40,7245 0938)	63 (172.0)  21 (79.0)  72 (72.0)  56 (128.0)  73 (157.0)  
48 (37,2153 28,3636 0659)	7 (211.0)  15 (153.0)  20 (89.0)  9 (85.0)  
49 (38,9462 41,7539 1334)	13 (69.0)  72 (130.0)  21 (175.0)  12 (86.0)  25 (114.0)  4 (141.0)  
50 (38,6939 34,6857 1197)	66 (125.0)  40 (67.0)  68 (67.0)  51 (81.0)  38 (69.0)  
51 (37,9667 34,6833 1239)	42 (193.0)  33 (130.0)  1 (121.0)  38 (110.0)  50 (81.0)  68 (72.0)  
52 (40,9839 37,8764 0025)	55 (134.0)  60 (134.0)  58 (156.0)  28 (44.0)  
53 (41,0201 40,5234 0011)	61 (68.0)  69 (89.0)  25 (140.0)  8 (110.0)  
